FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid--40875994_1a0c27d3273_-74c,20139471,ON,DRY,2026_ON_DRY_FIRE_036,DRY_FIRE_036,H,-1,-1,0,-1,1710.0,FUL,UC,2026-07-13T23:21:00,2026-08-08T13:30:00,49.2371,-91.8508,POINT (229034.085436 32027.324948),2026,2026,2026-08-07T15:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-74b,19849726,ON,COC,2026_ON_COC_FIRE_049,COC_FIRE_049,N,-1,-1,0,-1,1012.5,MON,OC,2026-08-01T20:31:00,2026-08-03T00:00:00,51.3448,-83.4881,POINT (791010.778325 331467.518512),2026,2026,2026-08-04T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-74a,19827053,ON,SLK,2026_ON_SLK_FIRE_021,SLK_FIRE_021,N,-1,-1,0,-1,858.9,MON,OC,2026-06-26T23:15:00,2026-08-04T15:23:00,52.8105,-89.247,POINT (382355.350061 438323.929025),2026,2026,2026-08-04T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-749,19529253,ON,NIP,2026_ON_NIP_FIRE_047,NIP_FIRE_047,N,-1,-1,0,-1,444.4,MON,OC,2026-07-14T21:17:00,2026-07-24T14:30:00,51.3497,-87.2821,POINT (531849.158663 292537.248205),2026,2026,2026-08-01T20:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-748,19529254,ON,NIP,2026_ON_NIP_FIRE_048,NIP_FIRE_048,N,-1,-1,0,-1,1237.0,MON,OC,2026-07-14T21:42:00,2026-07-24T14:30:00,51.3557,-87.3927,POINT (524185.256179 292276.209036),2026,2026,2026-08-01T20:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-747,19443534,ON,NIP,2026_ON_NIP_FIRE_087,NIP_FIRE_087,N,-1,-1,0,-1,1.5,MON,OC,2026-07-31T23:09:00,2026-07-31T23:15:00,49.8499,-88.5266,POINT (463265.125219 117965.580188),2026,2026,2026-08-01T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-746,19233033,ON,COC,2026_ON_COC_FIRE_048,COC_FIRE_048,N,-1,-1,0,-1,25.0,MON,OC,2026-07-29T20:37:00,2026-07-29T20:38:00,51.9745,-81.5728,POINT (906255.91688 425100.44064),2026,2026,2026-07-29T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-745,18621774,ON,NIP,2026_ON_NIP_FIRE_018,NIP_FIRE_018,N,-1,-1,0,-1,24541.7,MOD,OC,2026-06-27T23:47:00,2026-07-23T13:30:00,51.7393,-88.7879,POINT (424264.841834 323917.755512),2026,2026,2026-07-23T15:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-744,18548630,ON,NIP,2026_ON_NIP_FIRE_080,NIP_FIRE_080,N,-1,-1,0,-1,10.0,MON,OC,2026-07-21T23:48:00,2026-07-21T23:49:00,52.9137,-85.6236,POINT (620101.65852 478142.4015),2026,2026,2026-07-22T20:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-743,18533162,ON,NIP,2026_ON_NIP_FIRE_025,NIP_FIRE_025,H,-1,-1,0,-1,254.0,MON,OC,2026-07-04T21:28:00,2026-07-22T15:40:00,49.598,-88.7516,POINT (449956.237074 88549.475848),2026,2026,2026-07-22T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-742,18301796,ON,NIP,2026_ON_NIP_FIRE_052,NIP_FIRE_052,N,-1,-1,0,-1,200.0,MON,OC,2026-07-14T23:07:00,2026-07-19T23:00:00,50.4924,-86.386,POINT (606028.69019 206624.96629),2026,2026,2026-07-20T00:46:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-741,18301788,ON,NIP,2026_ON_NIP_FIRE_045,NIP_FIRE_045,N,-1,-1,0,-1,9922.0,MON,OC,2026-07-14T18:46:00,2026-07-19T23:00:00,51.4711,-87.8415,POINT (491965.814863 301333.559136),2026,2026,2026-07-20T00:46:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-740,18180353,ON,SLK,2026_ON_SLK_FIRE_005,SLK_FIRE_005,N,-1,-1,0,-1,38305.7,MON,OC,2026-06-26T19:48:00,2026-07-18T15:36:00,51.3787,-89.7245,POINT (363751.536004 278523.057943),2026,2026,2026-07-18T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-73f,17938976,ON,COC,2026_ON_COC_FIRE_038,COC_FIRE_038,N,-1,-1,0,-1,100.0,MON,OC,2026-07-14T20:29:00,2026-07-14T20:48:00,52.5896,-82.2437,POINT (848120.272189 482082.864438),2026,2026,2026-07-15T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-73e,17861049,ON,COC,2026_ON_COC_FIRE_040,COC_FIRE_040,N,-1,-1,0,-1,400.0,MON,OC,2026-07-14T21:55:00,2026-07-14T21:57:00,51.877,-81.4582,POINT (916142.618554 416245.944437),2026,2026,2026-07-14T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-73d,16758951,ON,COC,2026_ON_COC_FIRE_019,COC_FIRE_019,N,-1,-1,0,-1,5.0,MON,OC,2026-06-28T23:58:00,2026-06-29T00:00:00,54.8813,-85.788,POINT (578206.902204 689780.167779),2026,2026,2026-06-29T16:45:00,2026-12-31T23:59:59.999
