FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid--6c738136_1a035a498d3_5362,22075669,AB,GWF,2026_AB_GWF-058-2026,GWF-058-2026,U,5,-1,-1,-1,25.0,FUL,OC,2026-08-22T17:22:00,2026-08-24T14:12:00,54.9982,-119.9511,POINT (-1526707.942674 963947.664444),2026,2026,2026-08-24T20:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--6c738136_1a035a498d3_5363,22075816,AB,HWF,2026_AB_HWF-147-2026,HWF-147-2026,N,5,-1,-1,-1,0.1,FUL,OC,2026-08-24T13:54:00,2026-08-24T13:54:00,57.6402,-116.5264,POINT (-1230365.458801 1158561.946044),2026,2026,2026-08-24T20:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--6c738136_1a035a498d3_5364,22072753,AB,HWF,2026_AB_HWF-145-2026,HWF-145-2026,N,5,-1,-1,-1,5.0,FUL,UC,2026-08-23T13:27:00,2026-08-24T13:12:00,59.3083,-119.4412,POINT (-1321359.190144 1386395.656442),2026,2026,2026-08-24T19:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--6c738136_1a035a498d3_5365,22057760,AB,MWF,2026_AB_MWF-047-2026,MWF-047-2026,N,5,-1,-1,-1,0.1,FUL,BH,2026-08-23T14:44:00,2026-08-23T16:32:00,57.2998,-112.783,POINT (-1032834.94901 1056695.402145),2026,2026,2026-08-24T16:45:00,2026-12-31T23:59:59.999
