Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast,Latitude,Longitude,Risk,Label
"Buffalo Narrows, sk, Canada",Low Risk,3.0,3.0,2.0,3.0,55.8628398,-108.4794604,Low (1-3),Buffalo Narrows
"Estevan, sk, Canada",Low Risk,3.0,3.0,3.0,2.0,49.1390842,-102.9914807,Low (1-3),Estevan
"Prince Albert, sk, Canada",Low Risk,3.0,3.0,3.0,2.0,53.2033494,-105.7530705,Low (1-3),Prince Albert
"Regina, sk, Canada",Low Risk,3.0,3.0,3.0,3.0,50.4452112,-104.6188944,Low (1-3),Regina
"Saskatoon, sk, Canada",Low Risk,3.0,3.0,3.0,3.0,52.157902,-106.6701577,Low (1-3),Saskatoon
"Swift Current, sk, Canada",Low Risk,3.0,3.0,2.0,2.0,50.285069,-107.7971722,Low (1-3),Swift Current
"Brandon, mb, Canada",Low Risk,2.0,3.0,2.0,2.0,49.8437486,-99.9514807,Low (1-3),Brandon
"Flin Flon, mb, Canada",Low Risk,3.0,3.0,2.0,2.0,54.7751389,-101.8493669,Low (1-3),Flin Flon
"Winnipeg, mb, Canada",Low Risk,3.0,3.0,3.0,2.0,49.8954221,-97.1385145,Low (1-3),Winnipeg
"Barrie, on, Canada",High Risk,6,10,6,2.0,44.3893556,-79.6903316,High (7-10),Barrie
"Belleville, on, Canada",Low Risk,5,7,7,2.0,44.1627589,-77.3832315,High (7-10),Belleville
"Brampton, on, Canada",Moderate Risk,10+,10,6,2.0,43.7315479,-79.7624177,Very high (10+),Brampton
"Brantford, on, Canada",High Risk,10+,10,6,2.0,43.1393867,-80.2644254,Very high (10+),Brantford
"Burlington, on, Canada",Moderate Risk,10+,10,6,2.0,43.3255196,-79.7990319,Very high (10+),Burlington
"Chatham, on, Canada",Very High Risk,10+,10+,10+,2.0,42.4048018,-82.1910376,Very high (10+),Chatham
"Cornwall, on, Canada",Low Risk,3,7,7,2.0,45.0212762,-74.730345,High (7-10),Cornwall
"Dorset, on, Canada",Low Risk,5,8,7,2.0,45.2444301,-78.8939439,High (7-10),Dorset
"Grand Bend, on, Canada",Very High Risk,10+,10+,10+,2.0,43.3130397,-81.7562242,Very high (10+),Grand Bend
"Guelph, on, Canada",High Risk,10+,10,6,2.0,43.5448048,-80.2481666,Very high (10+),Guelph
"Hamilton, on, Canada",High Risk,10+,10,6,2.0,43.2557206,-79.8711024,Very high (10+),Hamilton
"Hamilton Downtown, on, Canada",High Risk,10+,10,6,2.0,,,Very high (10+),Hamilton Downtown
"Hamilton Mountain, on, Canada",High Risk,10+,10,6,2.0,,,Very high (10+),Hamilton Mountain
"Hamilton West, on, Canada",High Risk,10+,10,6,2.0,,,Very high (10+),Hamilton West
"Kingston, on, Canada",Low Risk,5,7,7,2.0,44.2311717,-76.4859544,High (7-10),Kingston
"Kitchener, on, Canada",High Risk,10+,10,6,2.0,43.4516395,-80.4925337,Very high (10+),Kitchener
"London, on, Canada",Very High Risk,10+,10+,10+,2.0,42.9849233,-81.2452768,Very high (10+),London
"Milton, on, Canada",Moderate Risk,10+,10,6,2.0,43.5182991,-79.8774042,Very high (10+),Milton
"Mississauga, on, Canada",Moderate Risk,10+,10,6,2.0,43.5890452,-79.6441198,Very high (10+),Mississauga
"Newmarket, on, Canada",High Risk,6,10,6,2.0,44.059187,-79.461256,High (7-10),Newmarket
"North Bay, on, Canada",Low Risk,6,7,5,2.0,46.3091152,-79.4608204,High (7-10),North Bay
"Oakville, on, Canada",Moderate Risk,10+,10,6,2.0,43.467517,-79.6876659,Very high (10+),Oakville
"Oshawa, on, Canada",Low Risk,9,10,7,2.0,43.8970929,-78.8657912,High (7-10),Oshawa
"Ottawa, on, Canada",Low Risk,5,7,7,2.0,45.4215296,-75.6971931,High (7-10),Ottawa
"Parry Sound, on, Canada",Low Risk,5,8,7,2.0,45.3473925,-80.034783,High (7-10),Parry Sound
"Peterborough, on, Canada",Low Risk,6,10,6,2.0,44.3047061,-78.3199606,High (7-10),Peterborough
"Port Stanley, on, Canada",Very High Risk,10+,10+,10+,2.0,42.6641353,-81.2156329,Very high (10+),Port Stanley
"Sarnia, on, Canada",Very High Risk,10+,10+,10+,2.0,42.974536,-82.4065901,Very high (10+),Sarnia
"Sault Ste. Marie, on, Canada",Moderate Risk,10+,10+,10,3.0,46.5136494,-84.3357526,Very high (10+),Sault Ste. Marie
"St. Catharines, on, Canada",High Risk,10+,10,6,2.0,43.1593745,-79.2468626,Very high (10+),St. Catharines
"Sudbury, on, Canada",Low Risk,7,7,6,2.0,46.4917317,-80.993029,High (7-10),Sudbury
"Thunder Bay, on, Canada",Very High Risk,10+,10+,10+,8.0,48.3808951,-89.2476823,Very high (10+),Thunder Bay
"Tiverton, on, Canada",Very High Risk,10+,10,6,2.0,44.2676578,-81.5433231,Very high (10+),Tiverton
"Toronto, on, Canada",Moderate Risk,10+,10+,6,2.0,43.653226,-79.3831843,Very high (10+),Toronto
"Toronto Downtown, on, Canada",Moderate Risk,10+,10+,6,2.0,,,Very high (10+),Toronto Downtown
"Toronto East, on, Canada",Low Risk,10+,10+,6,2.0,,,Very high (10+),Toronto East
"Toronto North, on, Canada",Moderate Risk,10+,10+,6,2.0,,,Very high (10+),Toronto North
"Toronto West, on, Canada",Moderate Risk,10+,10+,6,2.0,,,Very high (10+),Toronto West
"Windsor, on, Canada",Very High Risk,10+,10+,10+,2.0,42.3149367,-83.0363633,Very high (10+),Windsor
"Windsor Downtown, on, Canada",Very High Risk,10+,10+,10+,2.0,,,Very high (10+),Windsor Downtown
"Windsor West, on, Canada",Very High Risk,10+,10+,10+,2.0,,,Very high (10+),Windsor West
"Gatineau, qc, Canada",calculated,5.0,7.0,7.0,2.0,45.4765446,-75.7012723,High (7-10),Gatineau
"Montréal, qc, Canada",calculated,2.0,5.0,5.0,1.0,45.5018869,-73.5673919,Moderate (4-6),Montréal
"Québec, qc, Canada",calculated,1.0,2.0,2.0,1.0,46.8130816,-71.2074596,Low (1-3),Québec
"Bathurst, nb, Canada",Low Risk,2.0,2.0,3.0,2.0,47.6183507,-65.6513358,Low (1-3),Bathurst
"Campbellton, nb, Canada",Low Risk,2.0,2.0,3.0,2.0,48.007399,-66.6722057,Low (1-3),Campbellton
"Edmundston, nb, Canada",Low Risk,2.0,2.0,3.0,2.0,47.3690127,-68.3266741,Low (1-3),Edmundston
"Fredericton, nb, Canada",Low Risk,2.0,2.0,3.0,2.0,45.9635895,-66.6431151,Low (1-3),Fredericton
"Miramichi, nb, Canada",Low Risk,2.0,2.0,3.0,2.0,47.0295709,-65.5059061,Low (1-3),Miramichi
"Moncton, nb, Canada",Low Risk,2.0,2.0,3.0,2.0,46.0878165,-64.7782313,Low (1-3),Moncton
"Saint Andrews, nb, Canada",Low Risk,2.0,2.0,3.0,2.0,45.0738432,-67.0530897,Low (1-3),Saint Andrews
"Saint John, nb, Canada",Low Risk,2.0,2.0,3.0,2.0,45.2733153,-66.0633081,Low (1-3),Saint John
"Halifax, ns, Canada",Low Risk,2.0,2.0,2.0,2.0,44.8857087,-63.1005273,Low (1-3),Halifax
"Halifax - Lake Major, ns, Canada",Low Risk,2.0,2.0,2.0,2.0,,,Low (1-3),Halifax - Lake Major
"Halifax Downtown, ns, Canada",Low Risk,2.0,2.0,2.0,2.0,,,Low (1-3),Halifax Downtown
"Kentville, ns, Canada",Low Risk,2.0,2.0,2.0,2.0,45.0771182,-64.4942826,Low (1-3),Kentville
"Pictou, ns, Canada",Low Risk,2.0,2.0,2.0,2.0,45.6761282,-62.708845,Low (1-3),Pictou
"Port Hawkesbury, ns, Canada",Low Risk,2.0,2.0,2.0,2.0,45.6148755,-61.3518164,Low (1-3),Port Hawkesbury
"Sydney, ns, Canada",Low Risk,2.0,2.0,2.0,2.0,46.1367899,-60.194224,Low (1-3),Sydney
"Charlottetown, pe, Canada",Low Risk,2.0,2.0,2.0,2.0,46.23824,-63.1310704,Low (1-3),Charlottetown
"St. Peters Bay, pe, Canada",,2.0,2.0,2.0,2.0,46.4174453,-62.5810333,Low (1-3),St. Peters Bay
"Summerside (Wellington), pe, Canada",Low Risk,2.0,2.0,2.0,2.0,46.4538293,-63.9995297,Low (1-3),Summerside (Wellington)
"Burin, nl, Canada",Low Risk,2.0,1.0,1.0,2.0,47.0777517,-55.1762977,Low (1-3),Burin
"Corner Brook, nl, Canada",,1.0,2.0,2.0,2.0,48.9523316,-57.9460401,Low (1-3),Corner Brook
"Grand Falls-Windsor, nl, Canada",Low Risk,2.0,2.0,2.0,2.0,48.9279047,-55.6598977,Low (1-3),Grand Falls-Windsor
"Labrador City, nl, Canada",Low Risk,2.0,2.0,2.0,2.0,52.9383852,-66.9153137,Low (1-3),Labrador City
"St. John's, nl, Canada",Low Risk,2.0,1.0,2.0,2.0,47.5556097,-52.7452511,Low (1-3),St. John's
"Whitehorse, yt, Canada",Low Risk,2.0,2.0,2.0,2.0,60.7197137,-135.0522761,Low (1-3),Whitehorse
"Fort Simpson, nt, Canada",,10+,8.0,9.0,10+,61.86330512,-121.3537357,Very high (10+),Fort Simpson
"Fort Smith, nt, Canada",High Risk,10+,10.0,8.0,10+,60.00552,-111.8849379,Very high (10+),Fort Smith
"Inuvik, nt, Canada",Low Risk,1,1.0,2.0,2,68.3607437,-133.7230177,Low (1-3),Inuvik
"Norman Wells, nt, Canada",Low Risk,1,1.0,5.0,5,65.2814938,-126.8286524,Moderate (4-6),Norman Wells
"Yellowknife, nt, Canada",Low Risk,10+,9.0,7.0,10+,62.4539717,-114.3717886,Very high (10+),Yellowknife
"Arviat, nu, Canada",,3.0,3.0,3.0,2.0,61.1078279,-94.0623691,Low (1-3),Arviat
"Iqaluit, nu, Canada",,1.0,1.0,1.0,1.0,63.746693,-68.5169669,Low (1-3),Iqaluit
"Kugluktuk, nu, Canada",,3.0,3.0,2.0,1.0,67.8252313,-115.0965503,Low (1-3),Kugluktuk
