FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5708,17696833,MB,NO,2026_MB_MB-NO156,MB-NO156,N,-1,-1,-1,-1,527.1,MON,OC,2026-07-01T05:00:00,2026-07-31T13:56:00,58.3133,-99.0906,POINT (-233462.445346 1028958.41722),2026,2026,2026-07-12T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5707,17696763,MB,NO,2026_MB_MB-NO086,MB-NO086,N,-1,-1,-1,-1,406.2,MON,OC,2026-06-26T05:00:00,2026-07-31T13:56:00,57.56,-101.7428,POINT (-393034.17987 960495.396968),2026,2026,2026-07-12T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5706,17696794,MB,NO,2026_MB_MB-NO117,MB-NO117,N,-1,-1,-1,-1,1818.6,MON,OC,2026-06-28T05:00:00,2026-07-31T13:56:00,58.8044,-98.9294,POINT (-220989.283053 1081557.11041),2026,2026,2026-07-12T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5705,17696714,MB,NO,2026_MB_MB-NO037,MB-NO037,N,-1,-1,-1,-1,9411.2,MON,OC,2026-06-25T05:00:00,2026-07-31T13:56:00,58.0936,-99.1733,POINT (-239743.4089 1005466.898881),2026,2026,2026-07-12T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5704,17680702,MB,NO,2026_MB_MB-NO185,MB-NO185,N,-1,-1,-1,-1,10.0,MON,OC,2026-07-12T05:00:00,2026-07-31T13:56:00,58.2442,-97.5281,POINT (-144644.904325 1016817.45074),2026,2026,2026-07-12T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5703,17633989,MB,NO,2026_MB_MB-NO099,MB-NO099,N,-1,-1,-1,-1,3535.3,MON,OC,2026-06-27T05:00:00,2026-07-31T13:56:00,56.7881,-97.3411,POINT (-139776.116654 858281.853608),2026,2026,2026-07-12T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5702,17633998,MB,NO,2026_MB_MB-NO108,MB-NO108,N,-1,-1,-1,-1,14413.0,MON,OC,2026-06-27T05:00:00,2026-07-31T13:56:00,57.2458,-97.3333,POINT (-137485.80839 908019.189636),2026,2026,2026-07-12T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5701,17634009,MB,NO,2026_MB_MB-NO119,MB-NO119,N,-1,-1,-1,-1,3165.9,MON,OC,2026-06-28T05:00:00,2026-07-31T13:56:00,58.2397,-97.6286,POINT (-150414.692349 1016568.064978),2026,2026,2026-07-12T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5700,17633921,MB,NO,2026_MB_MB-NO031,MB-NO031,N,-1,-1,-1,-1,5393.0,MON,OC,2026-06-24T05:00:00,2026-07-31T13:56:00,57.3153,-97.885,POINT (-169629.136702 916894.686806),2026,2026,2026-07-12T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56ff,17633943,MB,NO,2026_MB_MB-NO053,MB-NO053,N,-1,-1,-1,-1,818.1,MON,OC,2026-06-25T05:00:00,2026-07-31T13:56:00,56.6764,-97.7658,POINT (-165647.534075 847159.458918),2026,2026,2026-07-12T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56fe,17634039,MB,NO,2026_MB_MB-NO149,MB-NO149,N,-1,-1,-1,-1,3165.9,MON,OC,2026-06-30T05:00:00,2026-07-31T13:56:00,56.6078,-97.8586,POINT (-171536.001481 839945.313201),2026,2026,2026-07-12T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56fd,17625520,MB,NO,2026_MB_MB-NO145,MB-NO145,N,-1,-1,-1,-1,803.0,MON,OC,2026-06-29T05:00:00,2026-07-31T13:56:00,57.7475,-101.3756,POINT (-369664.48232 978555.793186),2026,2026,2026-07-11T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56fc,17625457,MB,NO,2026_MB_MB-NO082,MB-NO082,N,-1,-1,-1,-1,11.0,MON,OC,2026-06-26T05:00:00,2026-07-31T13:56:00,57.205,-100.8422,POINT (-344239.085507 916878.359246),2026,2026,2026-07-11T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56fb,17625470,MB,NO,2026_MB_MB-NO095,MB-NO095,N,-1,-1,-1,-1,7044.0,MOD,OC,2026-06-26T05:00:00,2026-07-31T13:56:00,56.8464,-101.5064,POINT (-387226.828615 881878.004988),2026,2026,2026-07-11T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56fa,17625456,MB,NO,2026_MB_MB-NO081,MB-NO081,N,-1,-1,-1,-1,2455.0,MON,OC,2026-06-26T05:00:00,2026-07-31T13:56:00,56.7619,-101.9297,POINT (-413323.639091 875404.666575),2026,2026,2026-07-11T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56f9,17625420,MB,NO,2026_MB_MB-NO045,MB-NO045,N,-1,-1,-1,-1,1030.0,MON,OC,2026-06-25T05:00:00,2026-07-31T13:56:00,57.0961,-101.5508,POINT (-387069.832986 909167.772097),2026,2026,2026-07-11T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56f8,17625493,MB,NO,2026_MB_MB-NO118,MB-NO118,N,-1,-1,-1,-1,739.0,MON,OC,2026-06-28T05:00:00,2026-07-31T13:56:00,57.4158,-101.425,POINT (-376155.394321 942990.59632),2026,2026,2026-07-11T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56f7,17625553,MB,NO,2026_MB_MB-NO171,MB-NO171,N,-1,-1,-1,-1,100.0,MON,OC,2026-07-04T05:00:00,2026-07-31T13:56:00,57.2547,-100.9667,POINT (-351044.37962 922940.834542),2026,2026,2026-07-11T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56f6,17603732,MB,NO,2026_MB_MB-NO179,MB-NO179,N,-1,-1,-1,-1,229.0,MON,OC,2026-07-10T05:00:00,2026-07-31T13:56:00,58.4025,-98.9528,POINT (-225008.191971 1038119.315977),2026,2026,2026-07-11T15:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56f5,17603733,MB,NO,2026_MB_MB-NO180,MB-NO180,N,-1,-1,-1,-1,16.0,MON,OC,2026-07-10T05:00:00,2026-07-31T13:56:00,58.4236,-98.9256,POINT (-223319.410635 1040309.678549),2026,2026,2026-07-11T15:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56f4,17546915,MB,NO,2026_MB_MB-NO109,MB-NO109,N,-1,-1,-1,-1,4310.3,MON,OC,2026-06-27T05:00:00,2026-07-31T13:56:00,57.1858,-97.5425,POINT (-150065.034481 901973.416768),2026,2026,2026-07-10T21:45:00,2026-12-31T23:59:59.999
