Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Arviat,,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Arviat, nu, Canada",
Iqaluit,,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Iqaluit, nu, Canada",
Kugluktuk,,2 Low Risk,4 Moderate Risk,6 Moderate Risk,4 Moderate Risk,,"Kugluktuk, nu, Canada",
