Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Brandon,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Brandon, mb, Canada",Moderate,4,3,3,3
Flin Flon,1 Low Risk,4 Moderate Risk  except *10+ very high risk in Smoke,6 Moderate Risk  except *10+ very high risk in Smoke,5 Moderate Risk  except *10+ very high risk in Smoke,2 Low Risk,,"Flin Flon, mb, Canada",Low,4,6,5,2
Winnipeg,3 Low Risk,8 High Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Winnipeg, mb, Canada",Low,8,4,3,3
