Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Burin,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Burin, nl, Canada",Low Risk
Corner Brook,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Corner Brook, nl, Canada",Low Risk
Grand Falls-Windsor,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Grand Falls-Windsor, nl, Canada",Low Risk
Labrador City,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,5 Moderate Risk,5 Moderate Risk,,"Labrador City, nl, Canada",Moderate Risk
St. John's,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"St. John's, nl, Canada",Low Risk
