Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Bathurst,2 Low Risk,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Bathurst, nb, Canada",Low Risk
Campbellton,2 Low Risk,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Campbellton, nb, Canada",Low Risk
Edmundston,3 Low Risk,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Edmundston, nb, Canada",Low Risk
Fredericton,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Fredericton, nb, Canada",Low Risk
Miramichi,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Miramichi, nb, Canada",Low Risk
Moncton,2 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Moncton, nb, Canada",Low Risk
Saint Andrews,1 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Saint Andrews, nb, Canada",Low Risk
Saint John,3 Low Risk,3 Low Risk,3 Low Risk,4 Moderate Risk,3 Low Risk,,"Saint John, nb, Canada",Low Risk
