Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Gatineau,,5 Moderate Risk,4 Moderate Risk,3 Low Risk,2 Low Risk,,"Gatineau, qc, Canada",
Montréal,,5 Moderate Risk,4 Moderate Risk,2 Low Risk,2 Low Risk,,"Montréal, qc, Canada",
Québec,,4 Moderate Risk,4 Moderate Risk,3 Low Risk,2 Low Risk,,"Québec, qc, Canada",
