Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Fort Simpson,,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Fort Simpson, nt, Canada",
Fort Smith,3 Low Risk,4 Moderate Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Fort Smith, nt, Canada",Low Risk
Inuvik,1 Low Risk,1 Low Risk,1 Low Risk,1 Low Risk,1 Low Risk,,"Inuvik, nt, Canada",Low Risk
Norman Wells,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,2 Low Risk,2 Low Risk,,"Norman Wells, nt, Canada",Moderate Risk
Yellowknife,6 Moderate Risk,7 High Risk,4 Moderate Risk,3 Low Risk,2 Low Risk,,"Yellowknife, nt, Canada",Moderate Risk
