Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Halifax,3 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Halifax, ns, Canada",Low Risk
Halifax - Lake Major,3 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Halifax - Lake Major, ns, Canada",Low Risk
Halifax Downtown,3 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Halifax Downtown, ns, Canada",Low Risk
Kentville,3 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Kentville, ns, Canada",Low Risk
Pictou,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Pictou, ns, Canada",Low Risk
Port Hawkesbury,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Port Hawkesbury, ns, Canada",Low Risk
Sydney,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Sydney, ns, Canada",Low Risk
