Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Charlottetown,1 Low Risk,1 Low Risk,1 Low Risk,2 Low Risk,2 Low Risk,,"Charlottetown, pe, Canada",Low,1,1,2,2
St. Peters Bay,,1 Low Risk,1 Low Risk,2 Low Risk,2 Low Risk,,"St. Peters Bay, pe, Canada",,1,1,2,2
Summerside (Wellington),1 Low Risk,1 Low Risk,1 Low Risk,2 Low Risk,2 Low Risk,,"Summerside (Wellington), pe, Canada",Low,1,1,2,2
