Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Buffalo Narrows,2 Low Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Buffalo Narrows, sk, Canada",Low Risk
Estevan,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Estevan, sk, Canada",Moderate Risk
Prince Albert,2 Low Risk,4 Moderate Risk,6 Moderate Risk,6 Moderate Risk,4 Moderate Risk,,"Prince Albert, sk, Canada",Low Risk
Regina,2 Low Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Regina, sk, Canada",Low Risk
Saskatoon,2 Low Risk,6 Moderate Risk,6 Moderate Risk,5 Moderate Risk,5 Moderate Risk,,"Saskatoon, sk, Canada",Low Risk
Swift Current,3 Low Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Swift Current, sk, Canada",Low Risk
