Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Burin,2 Low Risk,2 Low Risk,2 Low Risk,1 Low Risk,1 Low Risk,,"Burin, nl, Canada",Low,2,2,1,1
Corner Brook,,2 Low Risk,1 Low Risk,2 Low Risk,2 Low Risk,,"Corner Brook, nl, Canada",,2,1,2,2
Grand Falls-Windsor,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Grand Falls-Windsor, nl, Canada",Low,2,2,2,2
Labrador City,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Labrador City, nl, Canada",Low,2,2,2,2
St. John's,2 Low Risk,2 Low Risk,2 Low Risk,1 Low Risk,2 Low Risk,,"St. John's, nl, Canada",Low,2,2,1,2
