Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Buffalo Narrows,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,3 Low Risk,,"Buffalo Narrows, sk, Canada",Low,3,3,2,3
Estevan,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,,"Estevan, sk, Canada",Low,3,3,3,2
Prince Albert,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,,"Prince Albert, sk, Canada",Low,3,3,3,2
Regina,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Regina, sk, Canada",Low,3,3,3,3
Saskatoon,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Saskatoon, sk, Canada",Low,3,3,3,3
Swift Current,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Swift Current, sk, Canada",Low,3,3,2,2
