Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Bathurst,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,,"Bathurst, nb, Canada",Low,2,2,2,3
Campbellton,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,,"Campbellton, nb, Canada",Low,2,2,2,3
Edmundston,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,,"Edmundston, nb, Canada",Low,2,2,2,3
Fredericton,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,,"Fredericton, nb, Canada",Low,2,2,2,3
Miramichi,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,,"Miramichi, nb, Canada",Low,2,2,2,3
Moncton,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,,"Moncton, nb, Canada",Low,2,2,2,3
Saint Andrews,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,,"Saint Andrews, nb, Canada",Low,2,2,2,3
Saint John,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,,"Saint John, nb, Canada",Low,2,2,2,3
