Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Fort Simpson,,10+ Very High Risk,8 High Risk,9 High Risk,10+ Very High Risk,,"Fort Simpson, nt, Canada",,10+,8,9,10+
Fort Smith,10+ Very High Risk,10+ Very High Risk,10 High Risk,8 High Risk,10+ Very High Risk,,"Fort Smith, nt, Canada",Very,10+,10,8,10+
Inuvik,1 Low Risk,1 Low Risk,1 Low Risk,2 Low Risk,2 Low Risk,,"Inuvik, nt, Canada",Low,1,1,2,2
Norman Wells,1 Low Risk,1 Low Risk,1 Low Risk,5 Moderate Risk,5 Moderate Risk,,"Norman Wells, nt, Canada",Low,1,1,5,5
Yellowknife,4 Moderate Risk,10+ Very High Risk,9 High Risk,7 High Risk,10+ Very High Risk,,"Yellowknife, nt, Canada",Moderate,10+,9,7,10+
