Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Gatineau,Not calculated,3 Low Risk,3 Low Risk,5 Moderate Risk,4 Moderate Risk,,"Gatineau, qc, Canada",calculated,3,3,5,4
Montréal,Not calculated,2 Low Risk,2 Low Risk,4 Moderate Risk,5 Moderate Risk,,"Montréal, qc, Canada",calculated,2,2,4,5
Québec,Not calculated,1 Low Risk,1 Low Risk,2 Low Risk,2 Low Risk,,"Québec, qc, Canada",calculated,1,1,2,2
