Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Charlottetown,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Charlottetown, pe, Canada",Low Risk
St. Peters Bay,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"St. Peters Bay, pe, Canada",Low Risk
Summerside (Wellington),2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Summerside (Wellington), pe, Canada",Low Risk
