Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Halifax,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Halifax, ns, Canada",Low,2,2,2,2
Halifax - Lake Major,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Halifax - Lake Major, ns, Canada",Low,2,2,2,2
Halifax Downtown,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Halifax Downtown, ns, Canada",Low,2,2,2,2
Kentville,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Kentville, ns, Canada",Low,2,2,2,2
Pictou,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Pictou, ns, Canada",Low,2,2,2,2
Port Hawkesbury,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Port Hawkesbury, ns, Canada",Low,2,2,2,2
Sydney,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Sydney, ns, Canada",Low,2,2,2,2
