Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Arviat,,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Arviat, nu, Canada",,3,3,3,3
Iqaluit,,2 Low Risk,1 Low Risk,1 Low Risk,1 Low Risk,,"Iqaluit, nu, Canada",,2,1,1,1
Kugluktuk,,6 Moderate Risk,5 Moderate Risk,3 Low Risk,2 Low Risk,,"Kugluktuk, nu, Canada",,6,5,3,2
